# BLASTP 2.2.31+
# Query: GBBC2040_00001 putative_genecall_Prodigal_v2.00
# Database: MK16.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 37 hits found
GBBC2040_00001	MK16_00001	100.00	175	0	0	1	175	1	175	8e-127	355
GBBC2040_00001	MK16_00231	95.77	71	3	0	105	175	8	78	2e-43	140
GBBC2040_00001	MK16_04052	37.93	58	32	3	6	62	29	83	0.28	28.1
GBBC2040_00001	MK16_03244	41.67	36	21	0	6	41	34	69	0.29	28.5
GBBC2040_00001	MK16_03831	21.88	64	47	1	56	116	23	86	0.96	26.9
GBBC2040_00001	MK16_01612	54.55	22	10	0	6	27	41	62	1.4	26.2
GBBC2040_00001	MK16_02685	33.33	72	41	4	95	164	160	226	1.4	26.2
GBBC2040_00001	MK16_03582	53.85	26	12	0	6	31	45	70	1.6	25.8
GBBC2040_00001	MK16_02580	37.78	45	22	2	137	175	241	285	1.7	25.8
GBBC2040_00001	MK16_01548	26.67	75	40	3	6	80	57	116	1.8	25.8
GBBC2040_00001	MK16_02113	37.93	29	18	0	7	35	52	80	2.2	25.8
GBBC2040_00001	MK16_02800	32.00	25	17	0	113	137	333	357	2.3	25.8
GBBC2040_00001	MK16_00703	37.93	29	18	0	1	29	39	67	2.4	25.4
GBBC2040_00001	MK16_03766	55.56	18	8	0	7	24	62	79	2.7	25.4
GBBC2040_00001	MK16_01437	37.84	37	20	1	7	43	33	66	3.5	25.0
GBBC2040_00001	MK16_03925	52.17	23	11	0	141	163	160	182	4.3	24.6
GBBC2040_00001	MK16_02562	27.08	48	33	1	1	48	1	46	4.7	24.6
GBBC2040_00001	MK16_03942	26.00	50	31	1	7	50	341	390	4.9	24.6
GBBC2040_00001	MK16_02080	46.15	26	14	0	7	32	52	77	4.9	24.6
GBBC2040_00001	MK16_04257	50.00	20	10	0	6	25	31	50	5.0	24.6
GBBC2040_00001	MK16_01549	64.29	14	5	0	11	24	50	63	5.0	24.3
GBBC2040_00001	MK16_00814	52.63	19	9	0	9	27	389	407	5.3	24.6
GBBC2040_00001	MK16_00433	50.00	22	11	0	7	28	61	82	5.6	24.3
GBBC2040_00001	MK16_00118	52.94	17	8	0	6	22	30	46	5.9	24.3
GBBC2040_00001	MK16_02631	41.38	29	17	0	7	35	348	376	6.3	24.3
GBBC2040_00001	MK16_00483	52.63	19	9	0	7	25	38	56	6.4	24.3
GBBC2040_00001	MK16_02832	28.95	38	26	1	70	107	40	76	6.7	24.3
GBBC2040_00001	MK16_03225	47.37	19	10	0	6	24	40	58	6.8	23.9
GBBC2040_00001	MK16_01458	52.38	21	10	0	8	28	38	58	7.2	23.9
GBBC2040_00001	MK16_02666	47.62	21	11	0	1	21	33	53	7.2	23.9
GBBC2040_00001	MK16_01358	33.33	30	20	0	6	35	38	67	8.4	23.9
GBBC2040_00001	MK16_00349	47.83	23	12	0	7	29	301	323	8.5	23.9
GBBC2040_00001	MK16_02424	43.33	30	13	1	7	36	37	62	8.6	23.9
GBBC2040_00001	MK16_00720	40.62	32	17	1	6	35	41	72	8.7	23.9
GBBC2040_00001	MK16_03852	31.71	41	27	1	23	62	208	248	9.1	23.9
GBBC2040_00001	MK16_00451	52.38	21	10	0	7	27	338	358	9.1	23.9
GBBC2040_00001	MK16_02923	28.95	38	27	0	42	79	42	79	9.9	23.5
# BLASTP 2.2.31+
# Query: GBBC2040_00002 putative_genecall_Prodigal_v2.00
# Database: MK16.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 12 hits found
GBBC2040_00002	MK16_00002	100.00	191	0	0	1	191	1	191	6e-142	395
GBBC2040_00002	MK16_01998	30.77	52	34	1	3	54	4	53	0.12	29.6
GBBC2040_00002	MK16_04374	51.52	33	15	1	5	36	9	41	0.21	29.3
GBBC2040_00002	MK16_00812	28.75	80	46	3	48	120	107	182	1.0	26.9
GBBC2040_00002	MK16_03411	25.62	121	76	5	2	112	11	127	2.1	25.8
GBBC2040_00002	MK16_03274	39.29	28	17	0	83	110	150	177	2.3	25.8
GBBC2040_00002	MK16_02332	24.11	141	81	3	39	178	12	127	2.8	25.8
GBBC2040_00002	MK16_01103	32.26	62	27	3	4	51	470	530	3.8	25.0
GBBC2040_00002	MK16_01126	37.84	37	20	1	91	127	153	186	4.7	25.0
GBBC2040_00002	MK16_00183	29.63	54	36	1	26	79	715	766	5.7	24.6
GBBC2040_00002	MK16_01776	52.00	25	9	1	58	79	138	162	6.9	24.3
GBBC2040_00002	MK16_02814	24.49	98	60	3	3	100	37	120	8.4	24.3
# BLASTP 2.2.31+
# Query: GBBC2040_00003 putative_genecall_Prodigal_v2.00
# Database: MK16.fasta
