# BLASTP 2.2.31+
# Query: CSL_RW240_00001 putative_genecall_Prodigal_v2.00
# Database: MK10.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
CSL_RW240_00001	MK10_02086	36.59	41	25	1	7	46	36	76	0.24	24.6
CSL_RW240_00001	MK10_02798	39.13	23	14	0	18	40	119	141	1.3	22.7
CSL_RW240_00001	MK10_04283	33.33	33	21	1	5	37	2	33	1.8	22.3
CSL_RW240_00001	MK10_00507	33.33	27	18	0	20	46	98	124	3.1	21.9
CSL_RW240_00001	MK10_03425	33.33	36	22	2	9	42	397	432	3.1	21.9
CSL_RW240_00001	MK10_02997	25.00	44	28	1	2	45	40	78	4.3	21.2
CSL_RW240_00001	MK10_01294	37.93	29	17	1	5	33	71	98	5.5	21.2
CSL_RW240_00001	MK10_03632	37.14	35	17	1	7	36	100	134	5.6	21.2
CSL_RW240_00001	MK10_02502	33.33	42	28	0	1	42	62	103	5.9	21.2
CSL_RW240_00001	MK10_01892	25.00	28	21	0	6	33	139	166	6.6	20.8
CSL_RW240_00001	MK10_00162	32.26	31	19	1	12	42	79	107	7.2	20.8
# BLASTP 2.2.31+
# Query: CSL_RW240_00002 putative_genecall_Prodigal_v2.00
# Database: MK10.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 14 hits found
CSL_RW240_00002	MK10_04438	97.84	462	10	0	1	462	1	462	0.0	939
CSL_RW240_00002	MK10_01195	26.61	248	155	6	118	358	6	233	9e-17	77.0
CSL_RW240_00002	MK10_00295	23.81	126	81	5	163	281	75	192	0.080	32.0
CSL_RW240_00002	MK10_02555	23.02	126	84	3	327	448	1126	1242	0.96	28.9
CSL_RW240_00002	MK10_01989	43.48	23	13	0	202	224	133	155	1.1	28.5
CSL_RW240_00002	MK10_02369	29.76	84	42	4	379	457	276	347	1.7	28.1
CSL_RW240_00002	MK10_03704	25.49	102	49	4	172	267	265	345	1.8	27.7
CSL_RW240_00002	MK10_00143	55.00	20	9	0	283	302	250	269	2.1	27.7
CSL_RW240_00002	MK10_01465	31.43	35	24	0	417	451	155	189	3.4	26.6
CSL_RW240_00002	MK10_02724	35.59	59	26	2	404	462	195	241	4.4	26.9
CSL_RW240_00002	MK10_03812	36.36	33	21	0	361	393	74	106	4.5	26.6
CSL_RW240_00002	MK10_02141	40.62	32	19	0	151	182	46	77	5.0	26.2
CSL_RW240_00002	MK10_03682	35.42	48	30	1	50	96	382	429	5.5	26.6
CSL_RW240_00002	MK10_02788	40.00	30	16	1	422	451	407	434	8.4	25.8
# BLASTP 2.2.31+
# Query: CSL_RW240_00003 putative_genecall_Prodigal_v2.00
# Database: MK10.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
CSL_RW240_00003	MK10_04437	98.36	366	6	0	1	366	1	366	0.0	739
CSL_RW240_00003	MK10_03618	32.00	75	45	3	40	108	163	237	0.043	32.7
CSL_RW240_00003	MK10_00414	32.35	68	39	1	128	188	347	414	0.76	28.5
CSL_RW240_00003	MK10_00259	44.44	36	19	1	208	243	197	231	2.7	26.9
CSL_RW240_00003	MK10_00822	26.26	99	59	4	215	306	169	260	2.9	26.9
CSL_RW240_00003	MK10_02296	35.71	56	34	2	45	98	352	407	3.4	26.6
CSL_RW240_00003	MK10_01895	25.00	92	55	2	92	169	129	220	4.0	26.2
CSL_RW240_00003	MK10_03826	30.34	89	49	2	21	103	57	138	5.2	25.8
CSL_RW240_00003	MK10_04341	42.86	35	19	1	17	50	39	73	5.3	25.8
CSL_RW240_00003	MK10_01854	22.47	89	46	3	225	312	234	300	5.8	25.8
